epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.061,0.85006,1.28607,1.93916,1.17314,0.33428,0.4221,0.36215,0.27477,0.3345,0.42089,0.36337,0.29367,0.87597,1.31273,1.75352,1.40325,0.00041358,0.00041358,0.00041358
2,73.7473,0.85967,1.13454,1.37757,1.19279,0.46294,0.57371,0.5004,0.40189,0.4615,0.57115,0.4966,0.40483,0.78039,1.18333,1.38762,1.2719,0.000826137,0.000826137,0.000826137
3,111.351,0.87079,1.12787,1.28566,1.19523,0.45169,0.59219,0.53805,0.41873,0.45751,0.58709,0.53083,0.43512,0.82995,1.19957,1.47637,1.32013,0.00123457,0.00123457,0.00123457
4,148.091,0.86983,1.17057,1.2861,1.18972,0.54764,0.63672,0.61906,0.49748,0.54845,0.6365,0.61713,0.50836,0.7216,1.05453,1.18343,1.23382,0.00123144,0.00123144,0.00123144
5,184.693,0.8263,1.08868,1.15829,1.18061,0.64693,0.67268,0.70252,0.57601,0.64693,0.67268,0.70181,0.57127,0.73803,1.077,1.00045,1.20922,0.00122525,0.00122525,0.00122525
6,221.171,0.83007,1.0486,1.08726,1.18091,0.52666,0.75696,0.69845,0.57454,0.52666,0.75696,0.69653,0.60382,0.69631,0.88663,0.99614,1.18425,0.00121906,0.00121906,0.00121906
7,257.764,0.82519,1.02179,1.09369,1.16765,0.67043,0.73181,0.74624,0.62827,0.66913,0.71677,0.74095,0.64315,0.65698,0.83691,0.8756,1.1544,0.00121287,0.00121287,0.00121287
8,295.374,0.78149,0.95873,1.02792,1.12759,0.73124,0.5983,0.71257,0.5972,0.73124,0.5983,0.7113,0.60406,0.65394,0.87698,0.90839,1.13851,0.00120669,0.00120669,0.00120669
9,333.074,0.74819,0.9663,0.97878,1.12325,0.67117,0.69168,0.72348,0.59147,0.68175,0.67947,0.72073,0.58944,0.66456,1.05305,0.91845,1.16301,0.0012005,0.0012005,0.0012005
10,370.344,0.75472,0.97528,0.9822,1.13625,0.62041,0.7571,0.73042,0.61291,0.62041,0.7571,0.72971,0.63068,0.64329,0.78655,0.87243,1.15643,0.00119431,0.00119431,0.00119431
11,407.375,0.74628,0.92053,0.93977,1.12909,0.7717,0.73596,0.81202,0.67796,0.7696,0.73341,0.80643,0.70572,0.6481,0.79968,0.79021,1.1404,0.00118812,0.00118812,0.00118812
12,444.451,0.71614,0.88911,0.90382,1.10925,0.76225,0.8042,0.80279,0.66425,0.76254,0.80397,0.80048,0.68364,0.64947,0.85796,0.76822,1.13627,0.00118194,0.00118194,0.00118194
13,481.534,0.70279,0.92125,0.86919,1.09725,0.70445,0.79219,0.80392,0.67306,0.70445,0.79219,0.80301,0.70299,0.64498,0.7551,0.72973,1.14558,0.00117575,0.00117575,0.00117575
14,519.228,0.70614,0.88507,0.89659,1.11345,0.69827,0.73774,0.77394,0.66139,0.69827,0.73774,0.77283,0.66287,0.59175,0.81182,0.77467,1.10418,0.00116956,0.00116956,0.00116956
15,557.238,0.69694,0.90599,0.86994,1.0903,0.77697,0.75389,0.81511,0.68399,0.77379,0.75149,0.81062,0.70368,0.61758,0.75025,0.72445,1.11609,0.00116337,0.00116337,0.00116337
16,594.877,0.68744,0.85538,0.83372,1.08739,0.761,0.77981,0.81799,0.68332,0.76918,0.7506,0.81063,0.69938,0.63358,0.80378,0.69997,1.12697,0.00115719,0.00115719,0.00115719
17,632.692,0.69026,0.8806,0.84273,1.10151,0.7672,0.78667,0.84459,0.71411,0.76806,0.78643,0.83982,0.7305,0.57945,0.76979,0.68461,1.07783,0.001151,0.001151,0.001151
18,670.388,0.6713,0.84601,0.81259,1.0784,0.74205,0.82323,0.83517,0.71894,0.73822,0.82794,0.83348,0.72297,0.58997,0.70083,0.6989,1.1043,0.00114481,0.00114481,0.00114481
19,707.383,0.70012,0.85813,0.80999,1.09218,0.81399,0.79812,0.83822,0.7072,0.80536,0.79154,0.83044,0.73119,0.62014,0.78893,0.65471,1.11471,0.00113863,0.00113863,0.00113863
20,743.488,0.67173,0.85481,0.79751,1.06142,0.80503,0.78295,0.83201,0.70319,0.80271,0.78045,0.82668,0.72954,0.5986,0.72591,0.70708,1.1051,0.00113244,0.00113244,0.00113244
