epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8364,0.83945,1.65863,2.99264,1.21085,0.37019,0.27566,0.13274,0.10457,0.36874,0.2643,0.11285,0.09402,0.68847,2.31122,6.67866,1.1775,0.0004,0.0004,0.0004
2,28.8784,0.80825,1.14347,2.26847,1.15725,0.10398,0.38303,0.16192,0.1152,0.10398,0.38303,0.16176,0.11026,0.915,4.6727,17.5375,1.46917,0.000807138,0.000807138,0.000807138
3,42.9667,0.84851,1.30908,1.95734,1.14774,0.11078,0.363,0.15404,0.10902,0.11047,0.27726,0.13329,0.0755,1.13125,4.68015,2.47868,1.7074,0.00120883,0.00120883,0.00120883
4,52.9667,0.92464,1.36371,1.98634,1.22995,0.09733,0.37298,0.14884,0.10234,0.09475,0.36492,0.14308,0.09423,1.01436,3.29551,2.92799,1.61737,0.00122525,0.00122525,0.00122525
5,65.8497,0.90676,1.45382,1.82154,1.21597,0.16488,0.42632,0.23414,0.17105,0.16213,0.42064,0.23244,0.18376,0.99333,1.75095,2.27262,1.54793,0.001217,0.001217,0.001217
6,80.0316,0.83731,1.17734,1.76158,1.17954,0.54637,0.31404,0.27657,0.20821,0.54637,0.31404,0.27351,0.19125,1.03301,2.43308,2.04699,1.39512,0.00120875,0.00120875,0.00120875
7,94.2228,0.78643,1.22613,1.69884,1.16392,0.21966,0.50006,0.31171,0.25289,0.21966,0.50006,0.30947,0.23894,0.87146,1.92002,1.81893,1.35622,0.0012005,0.0012005,0.0012005
8,108.589,0.80264,1.28328,1.60616,1.1802,0.25151,0.42177,0.35167,0.28219,0.25151,0.42177,0.353,0.28547,0.75685,1.35924,1.87215,1.27132,0.00119225,0.00119225,0.00119225
9,122.743,0.76638,1.01881,1.5098,1.1299,0.77879,0.31717,0.35943,0.28552,0.77879,0.31717,0.36175,0.30819,0.73059,1.10458,1.54068,1.24886,0.001184,0.001184,0.001184
10,136.934,0.72664,0.98842,1.54641,1.09826,0.22828,0.41595,0.36681,0.26376,0.22619,0.41595,0.36705,0.24517,0.9254,2.65639,1.58084,1.45153,0.00117575,0.00117575,0.00117575
11,146.722,0.71513,0.95955,1.46256,1.09102,0.2174,0.39417,0.25875,0.2024,0.2174,0.39417,0.25905,0.21313,0.78653,1.54711,1.94558,1.24758,0.0011675,0.0011675,0.0011675
12,155.671,0.73968,1.00288,1.448,1.09232,0.32461,0.52427,0.3955,0.3216,0.32534,0.53058,0.39828,0.34603,0.73144,1.00325,1.75499,1.17867,0.00115925,0.00115925,0.00115925
13,164.668,0.73777,1.01865,1.41124,1.12312,0.34793,0.5757,0.47305,0.38437,0.34971,0.58138,0.47517,0.39458,0.76434,0.94465,1.49714,1.31885,0.001151,0.001151,0.001151
14,173.645,0.75727,0.94792,1.33975,1.1548,0.41291,0.5949,0.47566,0.38406,0.41122,0.5949,0.47693,0.39965,0.73222,1.08405,1.28339,1.28615,0.00114275,0.00114275,0.00114275
15,182.844,0.71617,1.02786,1.33306,1.11427,0.33826,0.72407,0.53553,0.42717,0.33826,0.72407,0.53755,0.45934,0.64083,0.85224,1.31487,1.20445,0.0011345,0.0011345,0.0011345
16,191.852,0.63946,0.81843,1.22261,1.06558,0.48808,0.58673,0.54583,0.45999,0.48808,0.58673,0.54598,0.48881,0.69499,0.79463,1.22771,1.18305,0.00112625,0.00112625,0.00112625
17,201.524,0.64087,0.88603,1.1561,1.08179,0.40206,0.67072,0.54802,0.45552,0.40206,0.67072,0.54796,0.47252,0.63732,0.93749,1.29367,1.17901,0.001118,0.001118,0.001118
18,211.101,0.64601,0.86763,1.22175,1.07979,0.47445,0.68127,0.55916,0.46281,0.47445,0.68127,0.56424,0.48641,0.70879,1.03791,1.3029,1.19478,0.00110975,0.00110975,0.00110975
19,220.874,0.68437,0.79439,1.2375,1.07699,0.39126,0.66114,0.47662,0.40021,0.39512,0.66921,0.48773,0.41989,0.75831,1.00109,1.48932,1.215,0.0011015,0.0011015,0.0011015
20,230.452,0.69857,0.99075,1.28472,1.0946,0.60224,0.52588,0.58132,0.48354,0.60224,0.52588,0.59478,0.52159,0.66141,0.84251,1.30404,1.18204,0.00109325,0.00109325,0.00109325
21,240.215,0.64242,0.76407,1.18347,1.03332,0.47457,0.59945,0.48466,0.40894,0.47457,0.59945,0.48682,0.42672,0.61057,0.85429,1.5457,1.16804,0.001085,0.001085,0.001085
22,249.887,0.60839,0.78066,1.15645,1.02935,0.44722,0.68951,0.53839,0.4549,0.44722,0.68951,0.53802,0.46953,0.62646,0.86674,1.24189,1.16504,0.00107675,0.00107675,0.00107675
